icd,description,version,,
204.22,"Subacute lymphoid leukemia, in relapse",9,,
204.80,"Other lymphoid leukemia, without mention of having achieved remission",9,,
204.81,"Other lymphoid leukemia, in remission",9,,
204.82,"Other lymphoid leukemia, in relapse",9,,
204.90,"Unspecified lymphoid leukemia, without mention of having achieved remission",9,,
204.91,"Unspecified lymphoid leukemia, in remission",9,,
204.92,"Unspecified lymphoid leukemia, in relapse",9,,
205.00,"Acute myeloid leukemia, without mention of having achieved remission",9,,
205.01,"Acute myeloid leukemia, in remission",9,,
205.02,"Acute myeloid leukemia, in relapse",9,,
205.10,"Chronic myeloid leukemia, without mention of having achieved remission",9,,
205.11,"Chronic myeloid leukemia, in remission",9,,
205.12,"Chronic myeloid leukemia, in relapse",9,,
205.20,"Subacute myeloid leukemia, without mention of having achieved remission",9,,
205.21,"Subacute myeloid leukemia,in remission",9,,
205.22,"Subacute myeloid leukemia, in relapse",9,,
205.30,"Myeloid sarcoma, without mention of having achieved remission",9,,
205.31,"Myeloid sarcoma, in remission",9,,
205.32,"Myeloid sarcoma, in relapse",9,,
205.80,"Other myeloid leukemia, without mention of having achieved remission",9,,
205.81,"Other myeloid leukemia, in remission",9,,
205.82,"Other myeloid leukemia, in relapse",9,,
205.90,"Unspecified myeloid leukemia, without mention of having achieved remission",9,,
205.91,"Unspecified myeloid leukemia, in remission",9,,
205.92,"Unspecified myeloid leukemia, in relapse",9,,
206.00,"Acute monocytic leukemia, without mention of having achieved remission",9,,
206.01,"Acute monocytic leukemia,in remission",9,,
206.02,"Acute monocytic leukemia, in relapse",9,,
206.10,"Chronic monocytic leukemia, without mention of having achieved remission",9,,
206.11,"Chronic monocytic leukemia, in remission",9,,
206.12,"Chronic monocytic leukemia, in relapse",9,,
206.20,"Subacute monocytic leukemia, without mention of having achieved remission",9,,
206.21,"Subacute monocytic leukemia, in remission",9,,
206.22,"Subacute monocytic leukemia, in relapse",9,,
206.80,"Other monocytic leukemia, without mention of having achieved remission",9,,
206.81,"Other monocytic leukemia, in remission",9,,
206.82,"Other monocytic leukemia, in relapse",9,,
206.90,"Unspecified monocytic leukemia, without mention of having achieved remission",9,,
206.91,"Unspecified monocytic leukemia, in remission",9,,
206.92,"Unspecified monocytic leukemia, in relapse",9,,
207.00,"Acute erythremia and erythroleukemia, without mention of having achieved remission",9,,
207.01,"Acute erythremia and erythroleukemia, in remission",9,,
207.02,"Acute erythremia and erythroleukemia, in relapse",9,,
207.10,"Chronic erythremia, without mention of having achieved remission",9,,
207.11,"Chronic erythremia, in remission",9,,
207.12,"Chronic erythremia, in relapse",9,,
207.20,"Megakaryocytic leukemia, without mention of having achieved remission",9,,
207.21,"Megakaryocytic leukemia, in remission",9,,
207.22,"Megakaryocytic leukemia, in relapse",9,,
207.80,"Other specified leukemia, without mention of having achieved remission",9,,
207.81,"Other specified leukemia, in remission",9,,
207.82,"Other specified leukemia, in relapse",9,,
208.00,"Acute leukemia of unspecified cell type, without mention of having achieved remission",9,,
208.01,"Acute leukemia of unspecified cell type, in remission",9,,
208.02,"Acute leukemia of unspecified cell type, in relapse",9,,
208.10,"Chronic leukemia of unspecified cell type, without mention of having achieved remission",9,,
208.11,"Chronic leukemia of unspecified cell type, in remission",9,,
208.12,"Chronic leukemia of unspecified cell type, in relapse",9,,
208.20,"Subacute leukemia of unspecified cell type, without mention of having achieved remission",9,,
208.21,"Subacute leukemia of unspecified cell type, in remission",9,,
208.22,"Subacute leukemia of unspecified cell type, in relapse",9,,
208.80,"Other leukemia of unspecified cell type, without mention of having achieved remission",9,,
208.81,"Other leukemia of unspecified cell type, in remission",9,,
208.82,"Other leukemia of unspecified cell type, in relapse",9,,
208.90,"Unspecified leukemia, without mention of having achieved remission",9,,
208.91,"Unspecified leukemia, in remission",9,,
208.92,"Unspecified leukemia, in relapse",9,,
209.00,"Malignant carcinoid tumor of the small intestine, unspecified portion",9,,
209.01,Malignant carcinoid tumor of the duodenum,9,,
209.02,Malignant carcinoid tumor of the jejunum,9,,
209.03,Malignant carcinoid tumor of the ileum,9,,
209.10,"Malignant carcinoid tumor of the large intestine, unspecified portion",9,,
209.11,Malignant carcinoid tumor of the appendix,9,,
209.12,Malignant carcinoid tumor of the cecum,9,,
209.13,Malignant carcinoid tumor of the ascending colon,9,,
209.14,Malignant carcinoid tumor of the transverse colon,9,,
209.15,Malignant carcinoid tumor of the descending colon,9,,
209.16,Malignant carcinoid tumor of the sigmoid colon,9,,
209.17,Malignant carcinoid tumor of the rectum,9,,
209.20,Malignant carcinoid tumor of unknown primary site,9,,
209.21,Malignant carcinoid tumor of the bronchus and lung,9,,
209.22,Malignant carcinoid tumor of the thymus,9,,
209.23,Malignant carcinoid tumor of the stomach,9,,
209.24,Malignant carcinoid tumor of the kidney,9,,
209.25,"Malignant carcinoid tumor of foregut, not otherwise specified",9,,
209.26,"Malignant carcinoid tumor of midgut, not otherwise specified",9,,
209.27,"Malignant carcinoid tumor of hindgut, not otherwise specified",9,,
209.29,Malignant carcinoid tumor of other sites,9,,
209.30,"Malignant poorly differentiated neuroendocrine carcinoma, any site",9,,
209.31,Merkel cell carcinoma of the face,9,,
209.32,Merkel cell carcinoma of the scalp and neck,9,,
209.33,Merkel cell carcinoma of the upper limb,9,,
209.34,Merkel cell carcinoma of the lower limb,9,,
209.35,Merkel cell carcinoma of the trunk,9,,
209.36,Merkel cell carcinoma of other sites,9,,
209.40,"Benign carcinoid tumor of the small intestine, unspecified portion",9,,
209.41,Benign carcinoid tumor of the duodenum,9,,
209.42,Benign carcinoid tumor of the jejunum,9,,
209.43,Benign carcinoid tumor of the ileum,9,,
209.50,"Benign carcinoid tumor of the large intestine, unspecified portion",9,,
209.51,Benign carcinoid tumor of the appendix,9,,
209.52,Benign carcinoid tumor of the cecum,9,,
209.53,Benign carcinoid tumor of the ascending colon,9,,
209.54,Benign carcinoid tumor of the transverse colon,9,,
209.55,Benign carcinoid tumor of the descending colon,9,,
209.56,Benign carcinoid tumor of the sigmoid colon,9,,
209.57,Benign carcinoid tumor of the rectum,9,,
209.60,Benign carcinoid tumor of unknown primary site,9,,
209.61,Benign carcinoid tumor of the bronchus and lung,9,,
209.62,Benign carcinoid tumor of the thymus,9,,
209.63,Benign carcinoid tumor of the stomach,9,,
209.64,Benign carcinoid tumor of the kidney,9,,
209.65,"Benign carcinoid tumor of foregut, not otherwise specified",9,,
209.66,"Benign carcinoid tumor of midgut, not otherwise specified",9,,
209.67,"Benign carcinoid tumor of hindgut, not otherwise specified",9,,
209.69,Benign carcinoid tumor of other sites,9,,
209.70,"Secondary neuroendocrine tumor, unspecified site",9,,
209.71,Secondary neuroendocrine tumor of distant lymph nodes,9,,
209.72,Secondary neuroendocrine tumor of liver,9,,
209.73,Secondary neuroendocrine tumor of bone,9,,
209.74,Secondary neuroendocrine tumor of peritoneum,9,,
209.75,Secondary Merkel cell carcinoma,9,,
209.79,Secondary neuroendocrine tumor of other sites,9,,
223.81,Benign neoplasm of urethra,9,,
223.89,Benign neoplasm of other specified sites of urinary organs,9,,
228.00,Hemangioma of unspecified site,9,,
228.01,Hemangioma of skin and subcutaneous tissue,9,,
228.02,Hemangioma of intracranial structures,9,,
228.03,Hemangioma of retina,9,,
228.04,Hemangioma of intra-abdominal structures,9,,
228.09,Hemangioma of other sites,9,,
233.30,"Carcinoma in situ, unspecified female genital organ",9,,
233.31,"Carcinoma in situ, vagina",9,,
233.32,"Carcinoma in situ, vulva",9,,
233.39,"Carcinoma in situ, other female genital organ",9,,
236.90,"Neoplasm of uncertain behavior of urinary organ, unspecified",9,,
236.91,Neoplasm of uncertain behavior of kidney and ureter,9,,
236.99,Neoplasm of uncertain behavior of other and unspecified urinary organs,9,,
237.70,"Neurofibromatosis, unspecified",9,,
237.71,"Neurofibromatosis, type 1 [von recklinghausen's disease]",9,,
237.72,"Neurofibromatosis, type 2 [acoustic neurofibromatosis]",9,,
237.73,Schwannomatosis,9,,
237.79,Other neurofibromatosis,9,,
238.71,Essential thrombocythemia,9,,
238.72,Low grade myelodysplastic syndrome lesions,9,,
238.73,High grade myelodysplastic syndrome lesions,9,,
238.74,Myelodysplastic syndrome with 5q deletion,9,,
238.75,"Myelodysplastic syndrome, unspecified",9,,
238.76,Myelofibrosis with myeloid metaplasia,9,,
238.77,Post-transplant lymphoproliferative disorder (PTLD),9,,
238.79,Other lymphatic and hematopoietic tissues,9,,
239.81,"Neoplasms of unspecified nature, retina and choroid",9,,
239.89,"Neoplasms of unspecified nature, other specified sites",9,,
242.00,Toxic diffuse goiter without mention of thyrotoxic crisis or storm,9,,
242.01,Toxic diffuse goiter with mention of thyrotoxic crisis or storm,9,,
242.10,Toxic uninodular goiter without mention of thyrotoxic crisis or storm,9,,
242.11,Toxic uninodular goiter with mention of thyrotoxic crisis or storm,9,,
242.20,Toxic multinodular goiter without mention of thyrotoxic crisis or storm,9,,
242.21,Toxic multinodular goiter with mention of thyrotoxic crisis or storm,9,,
242.30,"Toxic nodular goiter, unspecified type, without mention of thyrotoxic crisis or storm",9,,
242.31,"Toxic nodular goiter, unspecified type, with mention of thyrotoxic crisis or storm",9,,
242.40,Thyrotoxicosis from ectopic thyroid nodule without mention of thyrotoxic crisis or storm,9,,
242.41,Thyrotoxicosis from ectopic thyroid nodule with mention of thyrotoxic crisis or storm,9,,
242.80,Thyrotoxicosis of other specified origin without mention of thyrotoxic crisis or storm,9,,
242.81,Thyrotoxicosis of other specified origin with mention of thyrotoxic crisis or storm,9,,
242.90,"Thyrotoxicosis without mention of goiter or other cause, and without mention of thyrotoxic crisis or storm",9,,
242.91,"Thyrotoxicosis without mention of goiter or other cause, with mention of thyrotoxic crisis or storm",9,,
249.00,"Secondary diabetes mellitus without mention of complication, not stated as uncontrolled, or unspecified",9,,
249.01,"Secondary diabetes mellitus without mention of complication, uncontrolled",9,,
249.10,"Secondary diabetes mellitus with ketoacidosis, not stated as uncontrolled, or unspecified",9,,
249.11,"Secondary diabetes mellitus with ketoacidosis, uncontrolled",9,,
249.20,"Secondary diabetes mellitus with hyperosmolarity, not stated as uncontrolled, or unspecified",9,,
249.21,"Secondary diabetes mellitus with hyperosmolarity, uncontrolled",9,,
249.30,"Secondary diabetes mellitus with other coma, not stated as uncontrolled, or unspecified",9,,
249.31,"Secondary diabetes mellitus with other coma, uncontrolled",9,,
249.40,"Secondary diabetes mellitus with renal manifestations, not stated as uncontrolled, or unspecified",9,,
249.41,"Secondary diabetes mellitus with renal manifestations, uncontrolled",9,,
249.50,"Secondary diabetes mellitus with ophthalmic manifestations, not stated as uncontrolled, or unspecified",9,,
249.51,"Secondary diabetes mellitus with ophthalmic manifestations, uncontrolled",9,,
249.60,"Secondary diabetes mellitus with neurological manifestations, not stated as uncontrolled, or unspecified",9,,
249.61,"Secondary diabetes mellitus with neurological manifestations, uncontrolled",9,,
249.70,"Secondary diabetes mellitus with peripheral circulatory disorders, not stated as uncontrolled, or unspecified",9,,
249.71,"Secondary diabetes mellitus with peripheral circulatory disorders, uncontrolled",9,,
249.80,"Secondary diabetes mellitus with other specified manifestations, not stated as uncontrolled, or unspecified",9,,
249.81,"Secondary diabetes mellitus with other specified manifestations, uncontrolled",9,,
249.90,"Secondary diabetes mellitus with unspecified complication, not stated as uncontrolled, or unspecified",9,,
249.91,"Secondary diabetes mellitus with unspecified complication, uncontrolled",9,,
250.00,"Diabetes mellitus without mention of complication, type II or unspecified type, not stated as uncontrolled",9,,
250.01,"Diabetes mellitus without mention of complication, type I [juvenile type], not stated as uncontrolled",9,,
250.02,"Diabetes mellitus without mention of complication, type II or unspecified type, uncontrolled",9,,
250.03,"Diabetes mellitus without mention of complication, type I [juvenile type], uncontrolled",9,,
250.10,"Diabetes with ketoacidosis, type II or unspecified type, not stated as uncontrolled",9,,
250.11,"Diabetes with ketoacidosis, type I [juvenile type], not stated as uncontrolled",9,,
250.12,"Diabetes with ketoacidosis, type II or unspecified type, uncontrolled",9,,
250.13,"Diabetes with ketoacidosis, type I [juvenile type], uncontrolled",9,,
250.20,"Diabetes with hyperosmolarity, type II or unspecified type, not stated as uncontrolled",9,,
250.21,"Diabetes with hyperosmolarity, type I [juvenile type], not stated as uncontrolled",9,,
250.22,"Diabetes with hyperosmolarity, type II or unspecified type, uncontrolled",9,,
250.23,"Diabetes with hyperosmolarity, type I [juvenile type], uncontrolled",9,,
250.30,"Diabetes with other coma, type II or unspecified type, not stated as uncontrolled",9,,
250.31,"Diabetes with other coma, type I [juvenile type], not stated as uncontrolled",9,,
250.32,"Diabetes with other coma, type II or unspecified type, uncontrolled",9,,
250.33,"Diabetes with other coma, type I [juvenile type], uncontrolled",9,,
250.40,"Diabetes with renal manifestations, type II or unspecified type, not stated as uncontrolled",9,,
250.41,"Diabetes with renal manifestations, type I [juvenile type], not stated as uncontrolled",9,,
250.42,"Diabetes with renal manifestations, type II or unspecified type, uncontrolled",9,,
250.43,"Diabetes with renal manifestations, type I [juvenile type], uncontrolled",9,,
250.50,"Diabetes with ophthalmic manifestations, type II or unspecified type, not stated as uncontrolled",9,,
250.51,"Diabetes with ophthalmic manifestations, type I [juvenile type], not stated as uncontrolled",9,,
250.52,"Diabetes with ophthalmic manifestations, type II or unspecified type, uncontrolled",9,,
250.53,"Diabetes with ophthalmic manifestations, type I [juvenile type], uncontrolled",9,,
250.60,"Diabetes with neurological manifestations, type II or unspecified type, not stated as uncontrolled",9,,
250.61,"Diabetes with neurological manifestations, type I [juvenile type], not stated as uncontrolled",9,,
250.62,"Diabetes with neurological manifestations, type II or unspecified type, uncontrolled",9,,
250.63,"Diabetes with neurological manifestations, type I [juvenile type], uncontrolled",9,,
250.70,"Diabetes with peripheral circulatory disorders, type II or unspecified type, not stated as uncontrolled",9,,
250.71,"Diabetes with peripheral circulatory disorders, type I [juvenile type], not stated as uncontrolled",9,,
250.72,"Diabetes with peripheral circulatory disorders, type II or unspecified type, uncontrolled",9,,
250.73,"Diabetes with peripheral circulatory disorders, type I [juvenile type], uncontrolled",9,,
250.80,"Diabetes with other specified manifestations, type II or unspecified type, not stated as uncontrolled",9,,
250.81,"Diabetes with other specified manifestations, type I [juvenile type], not stated as uncontrolled",9,,
250.82,"Diabetes with other specified manifestations, type II or unspecified type, uncontrolled",9,,
250.83,"Diabetes with other specified manifestations, type I [juvenile type], uncontrolled",9,,
250.90,"Diabetes with unspecified complication, type II or unspecified type, not stated as uncontrolled",9,,
250.91,"Diabetes with unspecified complication, type I [juvenile type], not stated as uncontrolled",9,,
250.92,"Diabetes with unspecified complication, type II or unspecified type, uncontrolled",9,,
250.93,"Diabetes with unspecified complication, type I [juvenile type], uncontrolled",9,,
252.00,"Hyperparathyroidism, unspecified",9,,
252.01,Primary hyperparathyroidism,9,,
252.02,"Secondary hyperparathyroidism, non-renal",9,,
252.08,Other hyperparathyroidism,9,,
255.10,"Hyperaldosteronism, unspecified",9,,
255.11,Glucocorticoid-remediable aldosteronism,9,,
255.12,Conn's syndrome,9,,
255.13,Bartter's syndrome,9,,
255.14,Other secondary aldosteronism,9,,
255.41,Glucocorticoid deficiency,9,,
255.42,Mineralocorticoid deficiency,9,,
256.31,Premature menopause,9,,
256.39,Other ovarian failure,9,,
258.01,Multiple endocrine neoplasia [MEN] type I,9,,
258.02,Multiple endocrine neoplasia [MEN] type IIA,9,,
258.03,Multiple endocrine neoplasia [MEN] type IIB,9,,
259.50,"Androgen insensitivity, unspecified",9,,
259.51,Androgen insensitivity syndrome,9,,
259.52,Partial androgen insensitivity,9,,
274.00,"Gouty arthropathy, unspecified",9,,
274.01,Acute gouty arthropathy,9,,
274.02,Chronic gouty arthropathy without mention of tophus (tophi),9,,
274.03,Chronic gouty arthropathy with tophus (tophi),9,,
274.10,"Gouty nephropathy, unspecified",9,,
274.11,Uric acid nephrolithiasis,9,,
274.19,Other gouty nephropathy,9,,
274.81,Gouty tophi of ear,9,,
274.82,"Gouty tophi of other sites, except ear",9,,
274.89,Gout with other specified manifestations,9,,
275.01,Hereditary hemochromatosis,9,,
275.02,Hemochromatosis due to repeated red blood cell transfusions,9,,
275.03,Other hemochromatosis,9,,
275.09,Other disorders of iron metabolism,9,,
275.40,Unspecified disorder of calcium metabolism,9,,
275.41,Hypocalcemia,9,,
275.42,Hypercalcemia,9,,
275.49,Other disorders of calcium metabolism,9,,
276.50,"Volume depletion, unspecified",9,,
276.51,Dehydration,9,,
276.52,Hypovolemia,9,,
276.61,Transfusion associated circulatory overload,9,,
276.69,Other fluid overload,9,,
277.00,Cystic fibrosis without mention of meconium ileus,9,,
277.01,Cystic fibrosis with meconium ileus,9,,
277.02,Cystic fibrosis with pulmonary manifestations,9,,
277.03,Cystic fibrosis with gastrointestinal manifestations,9,,
277.09,Cystic fibrosis with other manifestations,9,,
277.30,"Amyloidosis, unspecified",9,,
277.31,Familial Mediterranean fever,9,,
277.39,Other amyloidosis,9,,
277.81,Primary carnitine deficiency,9,,
277.82,Carnitine deficiency due to inborn errors of metabolism,9,,
277.83,Iatrogenic carnitine deficiency,9,,
277.84,Other secondary carnitine deficiency,9,,
277.85,Disorders of fatty acid oxidation,9,,
277.86,Peroxisomal disorders,9,,
277.87,Disorders of mitochondrial metabolism,9,,
277.88,Tumor lysis syndrome,9,,
277.89,Other specified disorders of metabolism,9,,
278.00,"Obesity, unspecified",9,,
278.01,Morbid obesity,9,,
278.02,Overweight,9,,
278.03,Obesity hypoventilation syndrome,9,,
279.00,"Hypogammaglobulinemia, unspecified",9,,
279.01,Selective IgA immunodeficiency,9,,
279.02,Selective IgM immunodeficiency,9,,
279.03,Other selective immunoglobulin deficiencies,9,,
279.04,Congenital hypogammaglobulinemia,9,,
279.05,Immunodeficiency with increased IgM,9,,
279.06,Common variable immunodeficiency,9,,
279.09,Other deficiency of humoral immunity,9,,
279.10,"Immunodeficiency with predominant T-cell defect, unspecified",9,,
279.11,Digeorge's syndrome,9,,
279.12,Wiskott-aldrich syndrome,9,,
279.13,Nezelof's syndrome,9,,
279.19,Other deficiency of cell-mediated immunity,9,,
279.41,Autoimmune lymphoproliferative syndrome,9,,
279.49,"Autoimmune disease, not elsewhere classified",9,,
279.50,"Graft-versus-host disease, unspecified",9,,
279.51,Acute graft-versus-host disease,9,,
279.52,Chronic graft-versus-host disease,9,,
279.53,Acute on chronic graft-versus-host disease,9,,
282.40,"Thalassemia, unspecified",9,,
282.41,Sickle-cell thalassemia without crisis,9,,
282.42,Sickle-cell thalassemia with crisis,9,,
282.43,Alpha thalassemia,9,,
282.44,Beta thalassemia,9,,
282.45,Delta-beta thalassemia,9,,
282.46,Thalassemia minor,9,,
282.47,Hemoglobin E-beta thalassemia,9,,
282.49,Other thalassemia,9,,
282.60,"Sickle-cell disease, unspecified",9,,
282.61,Hb-SS disease without crisis,9,,
282.62,Hb-SS disease with crisis,9,,
282.63,Sickle-cell/Hb-C disease without crisis,9,,
282.64,Sickle-cell/Hb-C disease with crisis,9,,
282.68,Other sickle-cell disease without crisis,9,,
282.69,Other sickle-cell disease with crisis,9,,
283.10,"Non-autoimmune hemolytic anemia, unspecified",9,,
283.11,Hemolytic-uremic syndrome,9,,
283.19,Other non-autoimmune hemolytic anemias,9,,
284.01,Constitutional red blood cell aplasia,9,,
284.09,Other constitutional aplastic anemia,9,,
284.11,Antineoplastic chemotherapy induced pancytopenia,9,,
284.12,Other drug-induced pancytopenia,9,,
284.19,Other pancytopenia,9,,
284.81,Red cell aplasia (acquired)(adult)(with thymoma),9,,
284.89,Other specified aplastic anemias,9,,
285.21,Anemia in chronic kidney disease,9,,
285.22,Anemia in neoplastic disease,9,,
285.29,Anemia of other chronic disease,9,,
286.52,Acquired hemophilia,9,,
286.53,Antiphospholipid antibody with hemorrhagic disorder,9,,
286.59,"Other hemorrhagic disorder due to intrinsic circulating anticoagulants, antibodies, or inhibitors",9,,
287.30,"Primary thrombocytopenia,unspecified",9,,
287.31,Immune thrombocytopenic purpura,9,,
287.32,Evans' syndrome,9,,
287.33,Congenital and hereditary thrombocytopenic purpura,9,,
287.39,Other primary thrombocytopenia,9,,
287.41,Posttransfusion purpura,9,,
287.49,Other secondary thrombocytopenia,9,,
288.00,"Neutropenia, unspecified",9,,
288.01,Congenital neutropenia,9,,
288.02,Cyclic neutropenia,9,,
288.03,Drug induced neutropenia,9,,
288.04,Neutropenia due to infection,9,,
288.09,Other neutropenia,9,,
288.50,"Leukocytopenia, unspecified",9,,
288.51,Lymphocytopenia,9,,
288.59,Other decreased white blood cell count,9,,
288.60,"Leukocytosis, unspecified",9,,
288.61,Lymphocytosis (symptomatic),9,,
288.62,Leukemoid reaction,9,,
288.63,Monocytosis (symptomatic),9,,
288.64,Plasmacytosis,9,,
288.65,Basophilia,9,,
288.66,Bandemia,9,,
288.69,Other elevated white blood cell count,9,,
289.50,"Disease of spleen, unspecified",9,,
289.51,Chronic congestive splenomegaly,9,,
289.52,Splenic sequestration,9,,
289.53,Neutropenic splenomegaly,9,,
289.59,Other diseases of spleen,9,,
289.81,Primary hypercoagulable state,9,,
289.82,Secondary hypercoagulable state,9,,
289.83,Myelofibrosis,9,,
289.84,Heparin-induced thrombocytopenia (HIT),9,,
289.89,Other specified diseases of blood and blood-forming organs,9,,
290.10,"Presenile dementia, uncomplicated",9,,
290.11,Presenile dementia with delirium,9,,
290.12,Presenile dementia with delusional features,9,,
290.13,Presenile dementia with depressive features,9,,
290.20,Senile dementia with delusional features,9,,
290.21,Senile dementia with depressive features,9,,
290.40,"Vascular dementia, uncomplicated",9,,
290.41,"Vascular dementia, with delirium",9,,
290.42,"Vascular dementia, with delusions",9,,
290.43,"Vascular dementia, with depressed mood",9,,
291.81,Alcohol withdrawal,9,,
291.82,Alcohol induced sleep disorders,9,,
291.89,Other alcohol-induced mental disorders,9,,
292.11,Drug-induced psychotic disorder with delusions,9,,
292.12,Drug-induced psychotic disorder with hallucinations,9,,
292.81,Drug-induced delirium,9,,
292.82,Drug-induced persisting dementia,9,,
292.83,Drug-induced persisting amnestic disorder,9,,
292.84,Drug-induced mood disorder,9,,
292.85,Drug induced sleep disorders,9,,
292.89,Other specified drug-induced mental disorders,9,,
293.81,Psychotic disorder with delusions in conditions classified elsewhere,9,,
293.82,Psychotic disorder with hallucinations in conditions classified elsewhere,9,,
293.83,Mood disorder in conditions classified elsewhere,9,,
293.84,Anxiety disorder in conditions classified elsewhere,9,,
293.89,"Other specified transient mental disorders due to conditions classified elsewhere, other",9,,
294.10,Dementia in conditions classified elsewhere without behavioral disturbance,9,,
294.11,Dementia in conditions classified elsewhere with behavioral disturbance,9,,
294.20,"Dementia, unspecified, without behavioral disturbance",9,,
294.21,"Dementia, unspecified, with behavioral disturbance",9,,
295.00,"Simple type schizophrenia, unspecified",9,,
295.01,"Simple type schizophrenia, subchronic",9,,
295.02,"Simple type schizophrenia, chronic",9,,
295.03,"Simple type schizophrenia, subchronic with acute exacerbation",9,,
295.04,"Simple type schizophrenia, chronic with acute exacerbation",9,,
295.05,"Simple type schizophrenia, in remission",9,,
295.10,"Disorganized type schizophrenia, unspecified",9,,
295.11,"Disorganized type schizophrenia, subchronic",9,,
295.12,"Disorganized type schizophrenia, chronic",9,,
295.13,"Disorganized type schizophrenia, subchronic with acute exacerbation",9,,
295.14,"Disorganized type schizophrenia, chronic with acute exacerbation",9,,
295.15,"Disorganized type schizophrenia, in remission",9,,
295.20,"Catatonic type schizophrenia, unspecified",9,,
295.21,"Catatonic type schizophrenia, subchronic",9,,
295.22,"Catatonic type schizophrenia, chronic",9,,
295.23,"Catatonic type schizophrenia, subchronic with acute exacerbation",9,,
295.24,"Catatonic type schizophrenia, chronic with acute exacerbation",9,,
295.25,"Catatonic type schizophrenia, in remission",9,,
295.30,"Paranoid type schizophrenia, unspecified",9,,
295.31,"Paranoid type schizophrenia, subchronic",9,,
295.32,"Paranoid type schizophrenia, chronic",9,,
295.33,"Paranoid type schizophrenia, subchronic with acute exacerbation",9,,
295.34,"Paranoid type schizophrenia, chronic with acute exacerbation",9,,
295.35,"Paranoid type schizophrenia, in remission",9,,
295.40,"Schizophreniform disorder, unspecified",9,,
295.41,"Schizophreniform disorder, subchronic",9,,
295.42,"Schizophreniform disorder, chronic",9,,
295.43,"Schizophreniform disorder, subchronic with acute exacerbation",9,,
295.44,"Schizophreniform disorder, chronic with acute exacerbation",9,,
295.45,"Schizophreniform disorder, in remission",9,,
295.50,"Latent schizophrenia, unspecified",9,,
295.51,"Latent schizophrenia, subchronic",9,,
295.52,"Latent schizophrenia, chronic",9,,
295.53,"Latent schizophrenia, subchronic with acute exacerbation",9,,
295.54,"Latent schizophrenia, chronic with acute exacerbation",9,,
295.55,"Latent schizophrenia, in remission",9,,
295.60,"Schizophrenic disorders, residual type, unspecified",9,,
295.61,"Schizophrenic disorders, residual type, subchronic",9,,
295.62,"Schizophrenic disorders, residual type, chronic",9,,
295.63,"Schizophrenic disorders, residual type, subchronic with acute exacerbation",9,,
295.64,"Schizophrenic disorders, residual type, chronic with acute exacerbation",9,,
295.65,"Schizophrenic disorders, residual type, in remission",9,,
295.70,"Schizoaffective disorder, unspecified",9,,
295.71,"Schizoaffective disorder, subchronic",9,,
295.72,"Schizoaffective disorder, chronic",9,,
295.73,"Schizoaffective disorder, subchronic with acute exacerbation",9,,
295.74,"Schizoaffective disorder, chronic with acute exacerbation",9,,
295.75,"Schizoaffective disorder, in remission",9,,
295.80,"Other specified types of schizophrenia, unspecified",9,,
295.81,"Other specified types of schizophrenia, subchronic",9,,
295.82,"Other specified types of schizophrenia, chronic",9,,
295.83,"Other specified types of schizophrenia, subchronic with acute exacerbation",9,,
295.84,"Other specified types of schizophrenia, chronic with acute exacerbation",9,,
295.85,"Other specified types of schizophrenia, in remission",9,,
295.90,"Unspecified schizophrenia, unspecified",9,,
295.91,"Unspecified schizophrenia, subchronic",9,,
295.92,"Unspecified schizophrenia, chronic",9,,
295.93,"Unspecified schizophrenia, subchronic with acute exacerbation",9,,
295.94,"Unspecified schizophrenia, chronic with acute exacerbation",9,,
295.95,"Unspecified schizophrenia, in remission",9,,
296.00,"Bipolar I disorder, single manic episode, unspecified",9,,
296.01,"Bipolar I disorder, single manic episode, mild",9,,
296.02,"Bipolar I disorder, single manic episode, moderate",9,,
296.03,"Bipolar I disorder, single manic episode, severe, without mention of psychotic behavior",9,,
296.04,"Bipolar I disorder, single manic episode, severe, specified as with psychotic behavior",9,,
296.05,"Bipolar I disorder, single manic episode, in partial or unspecified remission",9,,
296.06,"Bipolar I disorder, single manic episode, in full remission",9,,
296.10,"Manic affective disorder, recurrent episode, unspecified",9,,
296.11,"Manic affective disorder, recurrent episode, mild",9,,
296.12,"Manic affective disorder, recurrent episode, moderate",9,,
296.13,"Manic affective disorder, recurrent episode, severe, without mention of psychotic behavior",9,,
296.14,"Manic affective disorder, recurrent episode, severe, specified as with psychotic behavior",9,,
296.15,"Manic affective disorder, recurrent episode, in partial or unspecified remission",9,,
296.16,"Manic affective disorder, recurrent episode, in full remission",9,,
296.20,"Major depressive affective disorder, single episode, unspecified",9,,
296.21,"Major depressive affective disorder, single episode, mild",9,,
296.22,"Major depressive affective disorder, single episode, moderate",9,,
296.23,"Major depressive affective disorder, single episode, severe, without mention of psychotic behavior",9,,
296.24,"Major depressive affective disorder, single episode, severe, specified as with psychotic behavior",9,,
296.25,"Major depressive affective disorder, single episode, in partial or unspecified remission",9,,
296.26,"Major depressive affective disorder, single episode, in full remission",9,,
296.30,"Major depressive affective disorder, recurrent episode, unspecified",9,,
296.31,"Major depressive affective disorder, recurrent episode, mild",9,,
296.32,"Major depressive affective disorder, recurrent episode, moderate",9,,
296.33,"Major depressive affective disorder, recurrent episode, severe, without mention of psychotic behavior",9,,
296.34,"Major depressive affective disorder, recurrent episode, severe, specified as with psychotic behavior",9,,
