CPT_CODE,CPT_LONG_DESCRIPTION,,,
21070,CORONOIDECTOMY (SEPARATE PROCEDURE),,,
21076,IMPRESSION AND CUSTOM PREPARATION; SURGICAL OBTURATOR PROSTHESIS,,,
21077,IMPRESSION AND CUSTOM PREPARATION; ORBITAL PROSTHESIS,,,
21079,IMPRESSION AND CUSTOM PREPARATION; INTERIM OBTURATOR PROSTHESIS,,,
21080,IMPRESSION AND CUSTOM PREPARATION; DEFINITIVE OBTURATOR PROSTHESIS,,,
21081,IMPRESSION AND CUSTOM PREPARATION; MANDIBULAR RESECTION PROSTHESIS,,,
21082,IMPRESSION AND CUSTOM PREPARATION; PALATAL AUGMENTATION PROSTHESIS,,,
21083,IMPRESSION AND CUSTOM PREPARATION; PALATAL LIFT PROSTHESIS,,,
21084,IMPRESSION AND CUSTOM PREPARATION; SPEECH AID PROSTHESIS,,,
21085,IMPRESSION AND CUSTOM PREPARATION; ORAL SURGICAL SPLINT,,,
21086,IMPRESSION AND CUSTOM PREPARATION; AURICULAR PROSTHESIS,,,
21087,IMPRESSION AND CUSTOM PREPARATION; NASAL PROSTHESIS,,,
21088,IMPRESSION AND CUSTOM PREPARATION; FACIAL PROSTHESIS,,,
21089,UNLISTED MAXILLOFACIAL PROSTHETIC PROCEDURE,,,
21100,"APPLICATION OF HALO TYPE APPLIANCE FOR MAXILLOFACIAL FIXATION, INCLUDES REMOVAL (SEPARATE PROCEDURE)",,,
21110,"APPLICATION OF INTERDENTAL FIXATION DEVICE FOR CONDITIONS OTHER THAN FRACTURE OR DISLOCATION, INCLUDES REMOVAL",,,
21116,INJECTION PROCEDURE FOR TEMPOROMANDIBULAR JOINT ARTHROGRAPHY,,,
21120,"GENIOPLASTY; AUGMENTATION (AUTOGRAFT, ALLOGRAFT, PROSTHETIC MATERIAL)",,,
21121,"GENIOPLASTY; SLIDING OSTEOTOMY, SINGLE PIECE",,,
21122,"GENIOPLASTY; SLIDING OSTEOTOMIES, TWO OR MORE OSTEOTOMIES (EG, WEDGE EXCISION OR BONE WEDGE REVERSAL FOR ASYMMETRICAL CHIN)",,,
21123,"GENIOPLASTY; SLIDING, AUGMENTATION WITH INTERPOSITIONAL BONE GRAFTS (INCLUDES OBTAINING AUTOGRAFTS)",,,
21125,"AUGMENTATION, MANDIBULAR BODY OR ANGLE; PROSTHETIC MATERIAL",,,
21127,"AUGMENTATION, MANDIBULAR BODY OR ANGLE; WITH BONE GRAFT, ONLAY OR INTERPOSITIONAL (INCLUDES OBTAINING AUTOGRAFT)",,,
21137,REDUCTION FOREHEAD; CONTOURING ONLY,,,
21138,REDUCTION FOREHEAD; CONTOURING AND APPLICATION OF PROSTHETIC MATERIAL OR BONE GRAFT (INCLUDES OBTAINING AUTOGRAFT),,,
21139,REDUCTION FOREHEAD; CONTOURING AND SETBACK OF ANTERIOR FRONTAL SINUS WALL,,,
21141,"RECONSTRUCTION MIDFACE, LEFORT I; SINGLE PIECE, SEGMENT MOVEMENT IN ANY DIRECTION (EG, FOR LONG FACE SYNDROME), WITHOUT BONE GRAFT",,,
21142,"RECONSTRUCTION MIDFACE, LEFORT I; TWO PIECES, SEGMENT MOVEMENT IN ANY DIRECTION, WITHOUT BONE GRAFT",,,
21143,"RECONSTRUCTION MIDFACE, LEFORT I; THREE OR MORE PIECES, SEGMENT MOVEMENT IN ANY DIRECTION, WITHOUT BONE GRAFT",,,
21145,"RECONSTRUCTION MIDFACE, LEFORT I; SINGLE PIECE, SEGMENT MOVEMENT IN ANY DIRECTION, REQUIRING BONE GRAFTS (INCLUDES OBTAINING AUTOGRAFTS)",,,
21146,"RECONSTRUCTION MIDFACE, LEFORT I; TWO PIECES, SEGMENT MOVEMENT IN ANY DIRECTION, REQUIRING BONE GRAFTS (INCLUDES OBTAINING AUTOGRAFTS) (EG, UNG",,,
21147,"RECONSTRUCTION MIDFACE, LEFORT I; 3 OR MORE PIECES, SEGMENT MOVEMENT IN ANY DIRECTION, REQUIRING BONE GRAFTS (INCL OBTAINING AUTOGRAFTS) (EG, U",,,
21150,"RECONSTRUCTION MIDFACE, LEFORT II; ANTERIOR INTRUSION (EG, TREACHER-COLLINS SYNDROME)",,,
21151,"RECONSTRUCTION MIDFACE, LEFORT II; ANY DIRECTION, REQUIRING BONE GRAFTS (INCLUDES OBTAINING AUTOGRAFTS)",,,
21154,"RECONSTRUCTION MIDFACE, LEFORT III (EXTRACRANIAL), ANY TYPE, REQUIRING BONE GRAFTS (INCLUDES OBTAINING AUTOGRAFTS); WITHOUT LEFORT I",,,
21155,"RECONSTRUCTION MIDFACE, LEFORT III (EXTRACRANIAL), ANY TYPE, REQUIRING BONE GRAFTS (INCLUDES OBTAINING AUTOGRAFTS); WITH LEFORT I",,,
21159,"RECONSTRUCTION MIDFACE, LEFORT III (EXTRA AND INTRACRANIAL) WITH FOREHEAD ADVANCEMENT (EG, MONO BLOC), REQUIRING BONE GRAFTS (INCLUDES OBTAININ",,,
21160,"RECONSTRUCTION MIDFACE, LEFORT III (EXTRA AND INTRACRANIAL) WITH FOREHEAD ADVANCEMENT (EG, MONO BLOC), REQUIRING BONE GRAFTS (INCLUDES OBTAININ",,,
21172,"RECONSTRUCTION SUPERIOR-LATERAL ORBITAL RIM AND LOWER FOREHEAD, ADVANCEMENT OR ALTERATION, WITH OR WITHOUT GRAFTS (INCLUDES OBTAINING AUTOGRAFT",,,
21175,"RECONSTRUCTION, BIFRONTAL, SUPERIOR-LATERAL ORBITAL RIMS AND LOWER FOREHEAD, ADVANCEMENT OR ALTERATION (EG, PLAGIOCEPHALY, TRIGONOCEPHALY, BRAC",,,
21179,"RECONSTRUCTION, ENTIRE OR MAJORITY OF FOREHEAD AND/OR SUPRAORBITAL RIMS; WITH GRAFTS (ALLOGRAFT OR PROSTHETIC MATERIAL)",,,
21180,"RECONSTRUCTION, ENTIRE OR MAJORITY OF FOREHEAD AND/OR SUPRAORBITAL RIMS; WITH AUTOGRAFT (INCLUDES OBTAINING GRAFTS)",,,
21181,"RECONSTRUCTION BY CONTOURING OF BENIGN TUMOR OF CRANIAL BONES (EG, FIBROUS DYSPLASIA), EXTRACRANIAL",,,
21182,"RECONSTRUCTION, ORBITAL WALLS, RIMS, FOREHEAD, NASOETHMOID COMPLEX FOLLOWING INTRA-&EXTRACRANIAL EXCISION, BENIGN TUMOR, CRANIAL BONE, W MULTIP",,,
21183,"RECONSTRUCTION, ORBITAL WALLS, RIMS, FOREHEAD, NASOETHMOID COMPLEX FOLL INTRA-&EXTRACRANIAL EXCISION, BENIGN TUMOR, CRANIAL BONE, W MULTI AUTOG",,,
21184,"RECONSTRUCTION, ORBITAL WALLS, RIMS, FOREHEAD, NASOETHMOID COMPLEX FOLLOWING INTRA-&EXTRACRANIAL EXCISION, BENIGN TUMOR, CRANIAL BONE, W MULTIP",,,
21188,"RECONSTRUCTION MIDFACE, OSTEOTOMIES (OTHER THAN LEFORT TYPE) AND BONE GRAFTS (INCLUDES OBTAINING AUTOGRAFTS)",,,
21193,"RECONSTRUCTION OF MANDIBULAR RAMI, HORIZONTAL, VERTICAL, ""C"", OR ""L"" OSTEOTOMY; WITHOUT BONE GRAFT",,,
21194,"RECONSTRUCTION OF MANDIBULAR RAMUS, HORIZONTAL, VERTICAL, ""C"", OR ""L"" OSTEOTOMY; WITH BONE GRAFT (INCLUDES OBTAINING GRAFT)",,,
21195,"RECONSTRUCTION OF MANDIBULAR RAMI AND/OR BODY, SAGITTAL SPLIT; WITHOUT INTERNAL RIGID FIXATION",,,
21196,"RECONSTRUCTION OF MANDIBULAR RAMUS AND/OR BODY, SAGITTAL SPLIT; WITH INTERNAL RIGID FIXATION",,,
21198,"OSTEOTOMY, MANDIBLE, SEGMENTAL",,,
21199,"OSTEOTOMY, MANDIBLE, SEGMENTAL; WITH GENIOGLOSSUS ADVANCEMENT",,,
21206,"OSTEOTOMY, MAXILLA, SEGMENTAL (EG, WASSMUND OR SCHUCHARD)",,,
21208,"OSTEOPLASTY, FACIAL BONES; AUGMENTATION (AUTOGRAFT, ALLOGRAFT, OR PROSTHETIC IMPLANT)",,,
21209,"OSTEOPLASTY, FACIAL BONES; REDUCTION",,,
21210,"GRAFT, BONE; NASAL, MAXILLARY OR MALAR AREAS (INCLUDES OBTAINING GRAFT)",,,
21215,"GRAFT, BONE; MANDIBLE (INCLUDES OBTAINING GRAFT)",,,
21230,"GRAFT; RIB CARTILAGE, AUTOGENOUS, TO FACE, CHIN, NOSE OR EAR (INCLUDES OBTAINING GRAFT)",,,
21235,"GRAFT; EAR CARTILAGE, AUTOGENOUS, TO NOSE OR EAR (INCLUDES OBTAINING GRAFT)",,,
21240,"ARTHROPLASTY, TEMPOROMANDIBULAR JOINT, WITH OR WITHOUT AUTOGRAFT (INCLUDES OBTAINING GRAFT)",,,
21242,"ARTHROPLASTY, TEMPOROMANDIBULAR JOINT, WITH ALLOGRAFT",,,
21243,"ARTHROPLASTY, TEMPOROMANDIBULAR JOINT, WITH PROSTHETIC JOINT REPLACEMENT",,,
21244,"RECONSTRUCTION OF MANDIBLE, EXTRAORAL, WITH TRANSOSTEAL BONE PLATE (EG, MANDIBULAR STAPLE BONE PLATE)",,,
21245,"RECONSTRUCTION OF MANDIBLE OR MAXILLA, SUBPERIOSTEAL IMPLANT; PARTIAL",,,
21246,"RECONSTRUCTION OF MANDIBLE OR MAXILLA, SUBPERIOSTEAL IMPLANT; COMPLETE",,,
21247,"RECONSTRUCTION OF MANDIBULAR CONDYLE WITH BONE AND CARTILAGE AUTOGRAFTS (INCLUDES OBTAINING GRAFTS) (EG, FOR HEMIFACIAL MICROSOMIA)",,,
21248,"RECONSTRUCTION OF MANDIBLE OR MAXILLA, ENDOSTEAL IMPLANT (EG, BLADE, CYLINDER); PARTIAL",,,
21249,"RECONSTRUCTION OF MANDIBLE OR MAXILLA, ENDOSTEAL IMPLANT (EG, BLADE, CYLINDER); COMPLETE",,,
21255,RECONSTRUCTION OF ZYGOMATIC ARCH AND GLENOID FOSSA WITH BONE AND CARTILAGE (INCLUDES OBTAINING AUTOGRAFTS),,,
21256,"RECONSTRUCTION OF ORBIT WITH OSTEOTOMIES (EXTRACRANIAL) AND WITH BONE GRAFTS (INCLUDES OBTAINING AUTOGRAFTS) (EG, MICRO-OPHTHALMIA)",,,
21260,"PERIORBITAL OSTEOTOMIES FOR ORBITAL HYPERTELORISM, WITH BONE GRAFTS; EXTRACRANIAL APPROACH",,,
21261,"PERIORBITAL OSTEOTOMIES FOR ORBITAL HYPERTELORISM, WITH BONE GRAFTS; COMBINED INTRA- AND EXTRACRANIAL APPROACH",,,
21263,"PERIORBITAL OSTEOTOMIES FOR ORBITAL HYPERTELORISM, WITH BONE GRAFTS; WITH FOREHEAD ADVANCEMENT",,,
21267,"ORBITAL REPOSITIONING, PERIORBITAL OSTEOTOMIES, UNILATERAL, WITH BONE GRAFTS; EXTRACRANIAL APPROACH",,,
21268,"ORBITAL REPOSITIONING, PERIORBITAL OSTEOTOMIES, UNILATERAL, WITH BONE GRAFTS; COMBINED INTRA- AND EXTRACRANIAL APPROACH",,,
21270,"MALAR AUGMENTATION, PROSTHETIC MATERIAL",,,
21275,SECONDARY REVISION OF ORBITOCRANIOFACIAL RECONSTRUCTION,,,
21280,MEDIAL CANTHOPEXY (SEPARATE PROCEDURE),,,
21282,LATERAL CANTHOPEXY,,,
21295,"REDUCTION OF MASSETER MUSCLE AND BONE (EG, FOR TREATMENT OF BENIGN MASSETERIC HYPERTROPHY); EXTRAORAL APPROACH",,,
21296,"REDUCTION OF MASSETER MUSCLE AND BONE (EG, FOR TREATMENT OF BENIGN MASSETERIC HYPERTROPHY); INTRAORAL APPROACH",,,
21299,UNLISTED CRANIOFACIAL AND MAXILLOFACIAL PROCEDURE,,,
21300,CLOSED TREATMENT OF SKULL FRACTURE WITHOUT OPERATION,,,
21310,CLOSED TREATMENT OF NASAL BONE FRACTURE WITHOUT MANIPULATION,,,
21315,CLOSED TREATMENT OF NASAL BONE FRACTURE; WITHOUT STABILIZATION,,,
21320,CLOSED TREATMENT OF NASAL BONE FRACTURE; WITH STABILIZATION,,,
21325,OPEN TREATMENT OF NASAL FRACTURE; UNCOMPLICATED,,,
21330,"OPEN TREATMENT OF NASAL FRACTURE; COMPLICATED, WITH INTERNAL AND/OR EXTERNAL SKELETAL FIXATION",,,
21335,OPEN TREATMENT OF NASAL FRACTURE; WITH CONCOMITANT OPEN TREATMENT OF FRACTURED SEPTUM,,,
21336,"OPEN TREATMENT OF NASAL SEPTAL FRACTURE, WITH OR WITHOUT STABILIZATION",,,
21337,"CLOSED TREATMENT OF NASAL SEPTAL FRACTURE, WITH OR WITHOUT STABILIZATION",,,
21338,OPEN TREATMENT OF NASOETHMOID FRACTURE; WITHOUT EXTERNAL FIXATION,,,
21339,OPEN TREATMENT OF NASOETHMOID FRACTURE; WITH EXTERNAL FIXATION,,,
21340,"PERCUTANEOUS TREATMENT OF NASOETHMOID COMPLEX FRACTURE, WITH SPLINT, WIRE OR HEADCAP FIXATION, INCLUDING REPAIR OF CANTHAL LIGAMENTS AND/OR THE",,,
21343,OPEN TREATMENT OF DEPRESSED FRONTAL SINUS FRACTURE,,,
21344,"OPEN TREATMENT OF COMPLICATED (EG, COMMINUTED OR INVOLVING POSTERIOR WALL) FRONTAL SINUS FRACTURE, VIA CORONAL OR MULTIPLE APPROACHES",,,
21345,"CLOSED TREATMENT OF NASOMAXILLARY COMPLEX FRACTURE (LEFORT II TYPE), WITH INTERDENTAL WIRE FIXATION OR FIXATION OF DENTURE OR SPLINT",,,
21346,OPEN TREATMENT OF NASOMAXILLARY COMPLEX FRACTURE (LEFORT II TYPE); WITH WIRING AND/OR LOCAL FIXATION,,,
21347,OPEN TREATMENT OF NASOMAXILLARY COMPLEX FRACTURE (LEFORT II TYPE); REQUIRING MULTIPLE OPEN APPROACHES,,,
21348,OPEN TREATMENT OF NASOMAXILLARY COMPLEX FRACTURE (LEFORT II TYPE); WITH BONE GRAFTING (INCLUDES OBTAINING GRAFT),,,
21355,"PERCUTANEOUS TREATMENT OF FRACTURE OF MALAR AREA, INCLUDING ZYGOMATIC ARCH AND MALAR TRIPOD, WITH MANIPULATION",,,
21356,"OPEN TREATMENT OF DEPRESSED ZYGOMATIC ARCH FRACTURE (EG, GILLES APPROACH)",,,
21360,"OPEN TREATMENT OF DEPRESSED MALAR FRACTURE, INCLUDING ZYGOMATIC ARCH AND MALAR TRIPOD",,,
21365,"OPEN TREATMENT OF COMPLICATED (EG, COMMINUTED OR INVOLVING CRANIAL NERVE FORAMINA) FRACTURE(S) OF MALAR AREA, INCLUDING ZYGOMATIC ARCH AND MALA",,,
21366,"OPEN TREATMENT OF COMPLICATED (EG, COMMINUTED OR INVOLVING CRANIAL NERVE FORAMINA) FRACTURE(S) OF MALAR AREA, INCLUDING ZYGOMATIC ARCH AND MALA",,,
21385,"OPEN TREATMENT OF ORBITAL FLOOR ""BLOWOUT"" FRACTURE; TRANSANTRAL APPROACH (CALDWELL-LUC TYPE OPERATION)",,,
21386,"OPEN TREATMENT OF ORBITAL FLOOR ""BLOWOUT"" FRACTURE; PERIORBITAL APPROACH",,,
21387,"OPEN TREATMENT OF ORBITAL FLOOR ""BLOWOUT"" FRACTURE; COMBINED APPROACH",,,
21390,"OPEN TREATMENT OF ORBITAL FLOOR ""BLOWOUT"" FRACTURE; PERIORBITAL APPROACH, WITH ALLOPLASTIC OR OTHER IMPLANT",,,
21395,"OPEN TREATMENT OF ORBITAL FLOOR ""BLOWOUT"" FRACTURE; PERIORBITAL APPROACH WITH BONE GRAFT (INCLUDES OBTAINING GRAFT)",,,
21400,"CLOSED TREATMENT OF FRACTURE OF ORBIT, EXCEPT ""BLOWOUT""; WITHOUT MANIPULATION",,,
21401,"CLOSED TREATMENT OF FRACTURE OF ORBIT, EXCEPT ""BLOWOUT""; WITH MANIPULATION",,,
21406,"OPEN TREATMENT OF FRACTURE OF ORBIT, EXCEPT ""BLOWOUT""; WITHOUT IMPLANT",,,
21407,"OPEN TREATMENT OF FRACTURE OF ORBIT, EXCEPT ""BLOWOUT""; WITH IMPLANT",,,
21408,"OPEN TREATMENT OF FRACTURE OF ORBIT, EXCEPT ""BLOWOUT""; WITH BONE GRAFTING (INCLUDES OBTAINING GRAFT)",,,
21421,"CLOSED TREATMENT OF PALATAL OR MAXILLARY FRACTURE (LEFORT I TYPE), WITH INTERDENTAL WIRE FIXATION OR FIXATION OF DENTURE OR SPLINT",,,
21422,OPEN TREATMENT OF PALATAL OR MAXILLARY FRACTURE (LEFORT I TYPE);,,,
21423,"OPEN TREATMENT OF PALATAL OR MAXILLARY FRACTURE (LEFORT I TYPE); COMPLICATED (COMMINUTED OR INVOLVING CRANIAL NERVE FORAMINA), MULTIPLE APPROAC",,,
21431,CLOSED TREATMENT OF CRANIOFACIAL SEPARATION (LEFORT III TYPE) USING INTERDENTAL WIRE FIXATION OF DENTURE OR SPLINT,,,
21432,OPEN TREATMENT OF CRANIOFACIAL SEPARATION (LEFORT III TYPE); WITH WIRING AND/OR INTERNAL FIXATION,,,
21433,"OPEN TREATMENT OF CRANIOFACIAL SEPARATION (LEFORT III TYPE); COMPLICATED (EG, COMMINUTED OR INVOLVING CRANIAL NERVE FORAMINA), MULTIPLE SURGICA",,,
21435,"OPEN TREATMENT OF CRANIOFACIAL SEPARATION (LEFORT III TYPE); COMPLICATED, UTILIZING INTERNAL AND/OR EXTERNAL FIXATION TECHNIQUES (EG, HEAD CAP,",,,
21436,"OPEN TREATMENT OF CRANIOFACIAL SEPARATION (LEFORT III TYPE); COMPLICATED, MULTIPLE SURGICAL APPROACHES, INTERNAL FIXATION, WITH BONE GRAFTING (",,,
21440,CLOSED TREATMENT OF MANDIBULAR OR MAXILLARY ALVEOLAR RIDGE FRACTURE (SEPARATE PROCEDURE),,,
21445,OPEN TREATMENT OF MANDIBULAR OR MAXILLARY ALVEOLAR RIDGE FRACTURE (SEPARATE PROCEDURE),,,
21450,CLOSED TREATMENT OF MANDIBULAR FRACTURE; WITHOUT MANIPULATION,,,
21451,CLOSED TREATMENT OF MANDIBULAR FRACTURE; WITH MANIPULATION,,,
21452,"PERCUTANEOUS TREATMENT OF MANDIBULAR FRACTURE, WITH EXTERNAL FIXATION",,,
21453,CLOSED TREATMENT OF MANDIBULAR FRACTURE WITH INTERDENTAL FIXATION,,,
21454,OPEN TREATMENT OF MANDIBULAR FRACTURE WITH EXTERNAL FIXATION,,,
21461,OPEN TREATMENT OF MANDIBULAR FRACTURE; WITHOUT INTERDENTAL FIXATION,,,
21462,OPEN TREATMENT OF MANDIBULAR FRACTURE; WITH INTERDENTAL FIXATION,,,
21465,OPEN TREATMENT OF MANDIBULAR CONDYLAR FRACTURE,,,
21470,"OPEN TREATMENT OF COMPLICATED MANDIBULAR FRACTURE BY MULTIPLE SURGICAL APPROACHES INCLUDING INTERNAL FIXATION, INTERDENTAL FIXATION, AND/OR WIR",,,
21480,CLOSED TREATMENT OF TEMPOROMANDIBULAR DISLOCATION; INITIAL OR SUBSEQUENT,,,
21485,"CLOSED TREATMENT OF TEMPOROMANDIBULAR DISLOCATION; COMPLICATED (EG, RECURRENT REQUIRING INTERMAXILLARY FIXATION OR SPLINTING), INITIAL OR SUBSE",,,
21490,OPEN TREATMENT OF TEMPOROMANDIBULAR DISLOCATION,,,
21493,CLOSED TREATMENT OF HYOID FRACTURE; WITHOUT MANIPULATION,,,
21494,CLOSED TREATMENT OF HYOID FRACTURE; WITH MANIPULATION,,,
21495,OPEN TREATMENT OF HYOID FRACTURE,,,
21497,"INTERDENTAL WIRING, FOR CONDITION OTHER THAN FRACTURE",,,
21499,"UNLISTED MUSCULOSKELETAL PROCEDURE, HEAD",,,
21501,"INCISION AND DRAINAGE, DEEP ABSCESS OR HEMATOMA, SOFT TISSUES OF NECK OR THORAX;",,,
21502,"INCISION AND DRAINAGE, DEEP ABSCESS OR HEMATOMA, SOFT TISSUES OF NECK OR THORAX; WITH PARTIAL RIB OSTECTOMY",,,
21510,"INCISION, DEEP, WITH OPENING OF BONE CORTEX (EG, FOR OSTEOMYELITIS OR BONE ABSCESS), THORAX",,,
21550,"BIOPSY, SOFT TISSUE OF NECK OR THORAX",,,
21555,"EXCISION TUMOR, SOFT TISSUE OF NECK OR THORAX; SUBCUTANEOUS",,,
21556,"EXCISION TUMOR, SOFT TISSUE OF NECK OR THORAX; DEEP, SUBFASCIAL, INTRAMUSCULAR",,,
21557,"RADICAL RESECTION OF TUMOR (EG, MALIGNANT NEOPLASM), SOFT TISSUE OF NECK OR THORAX",,,
21600,"EXCISION OF RIB, PARTIAL",,,
21610,COSTOTRANSVERSECTOMY (SEPARATE PROCEDURE),,,
21615,EXCISION FIRST AND/OR CERVICAL RIB;,,,
21616,EXCISION FIRST AND/OR CERVICAL RIB; WITH SYMPATHECTOMY,,,
21620,"OSTECTOMY OF STERNUM, PARTIAL",,,
21627,STERNAL DEBRIDEMENT,,,
21630,RADICAL RESECTION OF STERNUM;,,,
21632,RADICAL RESECTION OF STERNUM; WITH MEDIASTINAL LYMPHADENECTOMY,,,
21700,DIVISION OF SCALENUS ANTICUS; WITHOUT RESECTION OF CERVICAL RIB,,,
21705,DIVISION OF SCALENUS ANTICUS; WITH RESECTION OF CERVICAL RIB,,,
21720,"DIVISION OF STERNOCLEIDOMASTOID FOR TORTICOLLIS, OPEN OPERATION; WITHOUT CAST APPLICATION",,,
21725,"DIVISION OF STERNOCLEIDOMASTOID FOR TORTICOLLIS, OPEN OPERATION; WITH CAST APPLICATION",,,
21740,RECONSTRUCTIVE REPAIR OF PECTUS EXCAVATUM OR CARINATUM; OPEN,,,
21742,"RECONSTRUCTIVE REPAIR OF PECTUS EXCAVATUM OR CARINATUM; MINIMALLY INVASIVE APPROACH (NUSS PROCEDURE), WITHOUT THORACOSCOPY",,,
21743,"RECONSTRUCTIVE REPAIR OF PECTUS EXCAVATUM OR CARINATUM; MINIMALLY INVASIVE APPROACH (NUSS PROCEDURE), WITH THORACOSCOPY",,,
21750,CLOSURE OF MEDIAN STERNOTOMY SEPARATION WITH OR WITHOUT DEBRIDEMENT,,,
21800,"CLOSED TREATMENT OF RIB FRACTURE, UNCOMPLICATED, EACH",,,
21805,"OPEN TREATMENT OF RIB FRACTURE WITHOUT FIXATION, EACH",,,
21810,"TREATMENT OF RIB FRACTURE REQUIRING EXTERNAL FIXATION (""FLAIL CHEST"")",,,
21820,CLOSED TREATMENT OF STERNUM FRACTURE,,,
21825,OPEN TREATMENT OF STERNUM FRACTURE WITH OR WITHOUT SKELETAL FIXATION,,,
21899,"UNLISTED PROCEDURE, NECK OR THORAX",,,
21920,"BIOPSY, SOFT TISSUE OF BACK OR FLANK; SUPERFICIAL",,,
21925,"BIOPSY, SOFT TISSUE OF BACK OR FLANK; DEEP",,,
21930,"EXCISION, TUMOR, SOFT TISSUE OF BACK OR FLANK",,,
21935,"RADICAL RESECTION OF TUMOR (EG, MALIGNANT NEOPLASM), SOFT TISSUE OF BACK OR FLANK",,,
22100,"PARTIAL EXCISION OF POSTERIOR VERTEBRAL COMPONENT (EG, SPINOUS PROCESS, LAMINA OR FACET) FOR INTRINSIC BONY LESION, SINGLE VERTEBRAL SEGMENT; C",,,
22101,"PARTIAL RESECTION OF VERTEBRAL COMPONENT, SPINOUS PROCESSES; THORACIC",,,
22102,"PARTIAL RESECTION OF VERTEBRAL COMPONENT, SPINOUS PROCESSES; LUMBAR",,,
22103,"PARTIAL EXCISION OF POSTERIOR VERTEBRAL COMPONENT (EG, SPINOUS PROCESS, LAMINA OR FACET) FOR INTRINSIC BONY LESION, SINGLE VERTEBRAL SEGMENT; E",,,
22110,"PARTIAL EXCISION OF VERTEBRAL BODY, FOR INTRINSIC BONY LESION, WITHOUT DECOMPRESSION OF SPINAL CORD OR NERVE ROOT(S), SINGLE VERTEBRAL SEGMENT;",,,
22112,"PARTIAL EXCISION OF VERTEBRAE (EG, FOR OSTEOMYELITIS); THORACIC",,,
22114,"PARTIAL EXCISION OF VERTEBRAE (EG, FOR OSTEOMYELITIS); LUMBAR",,,
22116,"PARTIAL EXCISION OF VERTEBRAL BODY, FOR INTRINSIC BONY LESION, W/O DECOMPRESSION OF SPINAL CORD OR NERVE ROOT(S), SINGLE VERTEBRAL SEG; EACH AD",,,
22210,"OSTEOTOMY OF SPINE, POSTERIOR OR POSTEROLATERAL APPROACH, ONE VERTEBRAL SEGMENT; CERVICAL",,,
22212,"OSTEOTOMY OF SPINE, POSTERIOR OR POSTEROLATERAL APPROACH, ONE VERTEBRAL SEGMENT; THORACIC",,,
22214,"OSTEOTOMY OF SPINE, POSTERIOR OR POSTEROLATERAL APPROACH, ONE VERTEBRAL SEGMENT; LUMBAR",,,
22216,"OSTEOTOMY OF SPINE, POSTERIOR OR POSTEROLATERAL APPROACH, ONE VERTEBRAL SEGMENT; EACH ADDITIONAL VERTEBRAL SEGMENT (LIST SEPARATELY IN ADDITION",,,
22220,"OSTEOTOMY OF SPINE, INCLUDING DISKECTOMY, ANTERIOR APPROACH, SINGLE VERTEBRAL SEGMENT; CERVICAL",,,
22222,"OSTEOTOMY OF SPINE, INCLUDING DISKECTOMY, ANTERIOR APPROACH, SINGLE VERTEBRAL SEGMENT; THORACIC",,,
22224,"OSTEOTOMY OF SPINE, INCLUDING DISKECTOMY, ANTERIOR APPROACH, SINGLE VERTEBRAL SEGMENT; LUMBAR",,,
22226,"OSTEOTOMY OF SPINE, INCLUDING DISKECTOMY, ANTERIOR APPROACH, SINGLE VERTEBRAL SEGMENT; EACH ADDITIONAL VERTEBRAL SEGMENT (LIST SEPARATELY IN AD",,,
22305,CLOSED TREATMENT OF VERTEBRAL PROCESS FRACTURE(S),,,
22310,"CLOSED TREATMENT OF VERTEBRAL BODY FRACTURE(S), WITHOUT MANIPULATION, REQUIRING AND INCLUDING CASTING OR BRACING",,,
22315,"CLOSED TREATMENT OF VERTEBRAL FRACTURE(S) AND/OR DISLOCATION(S) REQUIRING CASTING OR BRACING, WITH AND INCLUDING CASTING AND/OR BRACING, WITH O",,,
22318,"OPEN TREATMENT AND/OR REDUCTION OF ODONTOID FRACTURE(S) AND OR DISLOCATION(S) (INCLUDING OS ODONTOIDEUM), ANTERIOR APPROACH, INCLUDING PLACEMEN",,,
22319,"OPEN TREATMENT AND/OR REDUCTION OF ODONTOID FRACTURE(S) AND OR DISLOCATION(S) (INCLUDING OS ODONTOIDEUM), ANTERIOR APPROACH, INCLUDING PLACEMEN",,,
22325,"OPEN TREATMENT AND/OR REDUCTION OF VERTEBRAL FRACTURE(S) AND/OR DISLOCATION(S), POSTERIOR APPROACH, ONE FRACTURED VERTEBRAE OR DISLOCATED SEGME",,,
22326,"OPEN TREATMENT AND/OR REDUCTION OF VERTEBRAL FRACTURE(S) AND/OR DISLOCATION(S), POSTERIOR APPROACH, ONE FRACTURED VERTEBRAE OR DISLOCATED SEGME",,,
22327,"OPEN TREATMENT AND/OR REDUCTION OF VERTEBRAL FRACTURE(S) AND/OR DISLOCATION(S), POSTERIOR APPROACH, ONE FRACTURED VERTEBRAE OR DISLOCATED SEGME",,,
22328,"OPEN TX &/OR REDUCTION OF VERTEBRAL FRACTURE(S) &/OR DISLOCATION(S), POSTERIOR APPROACH, ONE FRACT VERTEBRAE OR DISLOC SEGMENT; EACH ADDED FRAC",,,
22505,"MANIPULATION OF SPINE REQUIRING ANESTHESIA, ANY REGION",,,
22520,"PERCUTANEOUS VERTEBROPLASTY, ONE VERTEBRAL BODY, UNILATERAL OR BILATERAL INJECTION; THORACIC",,,
22521,"PERCUTANEOUS VERTEBROPLASTY, ONE VERTEBRAL BODY, UNILATERAL OR BILATERAL INJECTION; LUMBAR",,,
